id,numrandom,fecha,det,id_asig
14,4837,2020-03-08 02:01:24,temp/4_08-03-2020.png,4
15,6541,2020-03-08 02:04:30,temp/6_08-03-2020.png,6
16,7530,2020-04-13 15:21:42,temp/7_13-04-2020.png,7
17,302,2020-04-14 00:11:26,temp/7_14-04-2020.png,0
19,8873,2020-04-14 20:27:46,temp/8_14-04-2020.png,8
20,7510,2020-04-15 16:03:48,temp/7_15-04-2020.png,7
21,8814,2020-04-15 22:37:18,temp/8_15-04-2020.png,8
22,8657,2020-04-16 15:14:45,temp/8_16-04-2020.png,8
23,12835,2020-04-16 18:37:39,temp/12_16-04-2020.png,12
24,7182,2020-04-16 18:53:16,temp/7_16-04-2020.png,7
26,13487,2020-04-17 19:21:07,temp/13_17-04-2020.png,13
29,8521,2020-04-20 19:44:35,null,8
30,14116,2020-04-21 15:52:49,null,14
31,8942,2020-04-21 17:56:39,null,8
32,9837,2020-04-22 12:11:24,null,9
33,7572,2020-04-22 15:46:45,null,7
34,7704,2020-04-23 14:35:30,null,7
35,13410,2020-04-24 11:08:24,null,13
36,15757,2020-04-24 20:15:29,null,15
37,8303,2020-04-28 03:01:49,null,8
38,17325,2020-04-28 03:45:14,null,17
39,14984,2020-04-28 16:29:31,null,14
40,35428,2020-04-28 22:10:24,null,35
42,21950,2020-04-29 03:07:47,null,21
43,7419,2020-04-29 18:41:42,null,7
44,34346,2020-04-30 13:11:37,null,34
49,7677,2020-04-30 20:50:18,null,7
52,15451,2020-05-01 14:55:40,null,15
53,32798,2020-05-04 19:34:56,null,32
54,34646,2020-05-05 08:09:18,null,34
55,8256,2020-05-05 09:06:05,null,8
56,14982,2020-05-05 10:25:31,null,14
57,33439,2020-05-05 11:08:49,null,33
59,21759,2020-05-06 08:33:02,null,21
60,42833,2020-05-06 10:44:28,null,42
61,43520,2020-05-06 10:44:40,null,43
62,44529,2020-05-06 11:20:56,null,44
63,7482,2020-05-06 13:43:27,null,7
64,18944,2020-05-06 14:53:36,null,18
65,17435,2020-05-06 15:00:18,null,17
66,26515,2020-05-06 18:04:25,null,26
67,35283,2020-05-07 11:53:16,null,35
68,36182,2020-05-07 13:11:18,null,36
69,47971,2020-05-07 16:10:54,null,47
70,13384,2020-05-08 06:12:18,null,13
71,15585,2020-05-08 11:01:09,null,15
72,31247,2020-05-08 18:06:21,null,31
73,43885,2020-05-11 13:36:24,null,43
74,42520,2020-05-11 13:38:01,null,42
75,49270,2020-05-11 13:47:48,null,49
76,55820,2020-05-11 14:32:13,null,55
77,56613,2020-05-11 14:42:24,null,56
78,48904,2020-05-11 15:36:44,null,48
79,7577,2020-05-11 17:30:03,null,7
80,32555,2020-05-11 19:35:12,null,32
81,8152,2020-05-12 08:04:05,null,8
82,35503,2020-05-12 08:58:12,null,35
83,14666,2020-05-12 10:02:05,null,14
84,33971,2020-05-12 10:56:57,null,33
85,27663,2020-05-12 15:43:00,null,27
86,30882,2020-05-12 15:43:37,null,30
87,21734,2020-05-13 07:00:38,null,21
88,7806,2020-05-13 10:48:53,null,7
89,40203,2020-05-13 10:50:28,null,40
90,41759,2020-05-13 10:56:13,null,41
91,28398,2020-05-13 15:39:11,null,28
92,48530,2020-05-13 16:00:21,null,48
93,16709,2020-05-13 16:32:32,null,16
94,17104,2020-05-13 20:16:54,null,17
95,7915,2020-05-14 07:40:44,null,7
96,34383,2020-05-14 08:32:26,null,34
97,73787,2020-05-14 09:36:48,null,73
98,74769,2020-05-14 09:36:57,null,74
99,75829,2020-05-14 09:37:02,null,75
100,42937,2020-05-14 11:59:58,null,42
101,28242,2020-05-14 20:15:44,null,28
102,27736,2020-05-14 20:41:36,null,27
103,29655,2020-05-14 20:45:44,null,29
104,47750,2020-05-14 20:45:59,null,47
105,36378,2020-05-14 21:44:10,null,36
106,13902,2020-05-15 06:14:26,null,13
107,15365,2020-05-15 15:38:30,null,15
108,41193,2020-05-15 16:46:44,null,41
109,31925,2020-05-15 19:13:40,null,31
110,76650,2020-05-18 07:17:29,null,76
111,58742,2020-05-18 08:51:12,null,58
112,42347,2020-05-18 11:27:02,null,42
113,49798,2020-05-18 14:38:18,null,49
114,64757,2020-05-18 16:51:39,null,64
115,40436,2020-05-18 17:34:12,null,40
116,32565,2020-05-18 19:22:16,null,32
117,64386,2020-05-19 05:25:51,null,64
118,34970,2020-05-19 06:41:09,null,34
119,58116,2020-05-19 10:34:36,null,58
120,14907,2020-05-19 10:47:05,null,14
121,33536,2020-05-19 10:57:59,null,33
122,8927,2020-05-19 11:16:42,null,8
123,35755,2020-05-19 11:20:00,null,35
124,7464,2020-05-20 15:45:40,null,7
125,17669,2020-05-20 20:01:42,null,17
126,36586,2020-05-21 06:05:50,null,36
127,59847,2020-05-21 13:45:59,null,59
128,47569,2020-05-21 17:04:36,null,47
129,18179,2020-05-21 19:48:26,null,18
130,19541,2020-05-21 20:13:38,null,19
